序,產品代號,品名,單價,體積,廠牌,長,寬,高,種類,葷素,重量(g),"輸入格式(序,產品代碼+品名,單價,體積,種類)"
1,A1-1,《台糖》沙拉油(600ml/瓶),43,1176,台糖,7,7,24,油,素食,596,1_A1-1《台糖》沙拉油(600ml/瓶)_43_1176_油
2,A1-2,《台糖》葵花油(1000ml/瓶),99,1664,台糖,8,8,26,油,素食,1432,2_A1-2《台糖》葵花油(1000ml/瓶)_99_1664_油
5,A1-5,《統一》綺麗健康油(652ml/瓶),199,881.25,統一,7.5,5,23.5,油,素食,600,5_A1-5《統一》綺麗健康油(652ml/瓶)_199_881.25_油
6,A1-6,《統一》大豆沙拉油(760ml/瓶),77,1147.5,統一,7.5,6,25.5,油,素食,760,6_A1-6《統一》大豆沙拉油(760ml/瓶)_77_1147.5_油
7,A1-7,《福壽》沙拉油(500ml),59,1176,福壽,7,7,24,油,素食,500,7_A1-7《福壽》沙拉油(500ml)_59_1176_油
8,A1-8,《維義》橄欖油(500ml),219,954,維義,6,6,26.5,油,素食,500,8_A1-8《維義》橄欖油(500ml)_219_954_油
9,A1-9,《維義》橄欖油(1000ml),139,1728,維義,8,8,27,油,素食,1432,9_A1-9《維義》橄欖油(1000ml)_139_1728_油
10,B1-1,《中興》鴨禾米(1.5kg/包),135,1530,中興,15,17,6,米,素食,1500,10_B1-1《中興》鴨禾米(1.5kg/包)_135_1530_米
12,B1-3,《中興》外銷日本之米(1.5kg/包),159,1530,中興,15,17,6,米,素食,1500,12_B1-3《中興》外銷日本之米(1.5kg/包)_159_1530_米
14,B1-5,《中興》外銷日本之米(3kg/包),155,2944,中興,32,23,4,米,素食,3000,14_B1-5《中興》外銷日本之米(3kg/包)_155_2944_米
16,B1-7,《中興》皇家榖堡米(3kg/包),165,2904,中興,33,22,4,米,素食,3000,16_B1-7《中興》皇家榖堡米(3kg/包)_165_2904_米
17,B1-8,《天生好米》天生好米(1.5kg/包),99,1458,天生好米,18,3,27,米,素食,1500,17_B1-8《天生好米》天生好米(1.5kg/包)_99_1458_米
18,B1-9,《天生好米》鮮活白米(1.5kg/包),129,1458,天生好米,18,3,27,米,素食,1500,18_B1-9《天生好米》鮮活白米(1.5kg/包)_129_1458_米
19,B1-10,《天生好米》月之壽司米(1.8kg/包),99,1596,天生好米,19,3,28,米,素食,1800,19_B1-10《天生好米》月之壽司米(1.8kg/包)_99_1596_米
21,B1-12,《天生好米》東部米產(2.4kg/包),149,2520,天生好米,21,4,30,米,素食,2400,21_B1-12《天生好米》東部米產(2.4kg/包)_149_2520_米
22,B1-13,《天生好米》花東之米(2.4kg/包),149,2520,天生好米,21,4,30,米,素食,2400,22_B1-13《天生好米》花東之米(2.4kg/包)_149_2520_米
24,B1-15,《天生好米》壽司米(3kg/包),179,2277,天生好米,23,3,33,米,素食,3000,24_B1-15《天生好米》壽司米(3kg/包)_179_2277_米
25,B1-16,《天生好米》好食的味(3kg/包),169,2277,天生好米,23,3,33,米,素食,3000,25_B1-16《天生好米》好食的味(3kg/包)_169_2277_米
26,B1-17,《天生好米》月之米(3kg/包),184,2277,天生好米,23,3,33,米,素食,3000,26_B1-17《天生好米》月之米(3kg/包)_184_2277_米
27,B1-18,《天生好米》富里5號米(3kg/包),155,2277,天生好米,23,3,33,米,素食,3000,27_B1-18《天生好米》富里5號米(3kg/包)_155_2277_米
28,B1-19,《天生好米》富里九號米(3kg/包),189,2277,天生好米,23,3,33,米,素食,3000,28_B1-19《天生好米》富里九號米(3kg/包)_189_2277_米
29,B1-20,《三好》春耕美白米(1.5kg/包),84,1620,三好,30,3,18,米,素食,1500,29_B1-20《三好》春耕美白米(1.5kg/包)_84_1620_米
30,B1-21,《三好》夏耘鮮白米(1.5kg/包),84,1620,三好,30,3,18,米,素食,1500,30_B1-21《三好》夏耘鮮白米(1.5kg/包)_84_1620_米
31,B1-22,《三好》三好米(2kg),119,1890,三好,15,6,21,米,素食,2000,31_B1-22《三好》三好米(2kg)_119_1890_米
32,B1-23,《三好》台梗九號米(2kg/包),139,1800,三好,15,15,8,米,素食,2000,32_B1-23《三好》台梗九號米(2kg/包)_139_1800_米
33,B1-24,《三好》素晴米(2.5kg/包),169,2816,三好,22,4,32,米,素食,2500,33_B1-24《三好》素晴米(2.5kg/包)_169_2816_米
34,B1-25,《三好》旨米(2.5kg/包),199,2816,三好,22,4,32,米,素食,2500,34_B1-25《三好》旨米(2.5kg/包)_199_2816_米
35,B1-26,《三好》台灣長鮮米(2.7kg/包),189,2816,三好,22,4,32,米,素食,2700,35_B1-26《三好》台灣長鮮米(2.7kg/包)_189_2816_米
36,B1-27,《三好》15度C益全香米(3kg/包),219,2904,三好,22,4,33,米,素食,3000,36_B1-27《三好》15度C益全香米(3kg/包)_219_2904_米
40,B1-31,《三好》台梗九號米(3kg/包),205,2904,三好,33,22,4,米,素食,3000,40_B1-31《三好》台梗九號米(3kg/包)_205_2904_米
41,B1-32,《三好》台灣壽司米(3kg/包),159,2904,三好,33,22,4,米,素食,3000,41_B1-32《三好》台灣壽司米(3kg/包)_159_2904_米
42,B1-33,《三好》天然好米(3kg/包),169,2904,三好,33,22,4,米,素食,3000,42_B1-33《三好》天然好米(3kg/包)_169_2904_米
43,B1-34,《三好》壽司米(3kg/包),145,2904,三好,33,22,4,米,素食,1500,43_B1-34《三好》壽司米(3kg/包)_145_2904_米
44,B1-35,《皇家榖堡》榖堡台東米(1.5kg/包),129,2070,皇家榖堡,23,3,30,米,素食,2400,44_B1-35《皇家榖堡》榖堡台東米(1.5kg/包)_129_2070_米
45,B1-36,《皇家榖堡》東鄉正東好米(2.4kg/包),149,2079,皇家榖堡,21,3,33,米,素食,2400,45_B1-36《皇家榖堡》東鄉正東好米(2.4kg/包)_149_2079_米
46,B1-37,《皇家榖堡》東鄉縱谷米(2.4kg/包),149,2079,皇家榖堡,21,3,33,米,素食,2400,46_B1-37《皇家榖堡》東鄉縱谷米(2.4kg/包)_149_2079_米
51,B1-42,《巧婦》長鮮米(3kg/包),189,2772,巧婦,21,4,33,米,素食,3000,51_B1-42《巧婦》長鮮米(3kg/包)_189_2772_米
52,B1-43,《三好》十六穀米(1.2kg/包),135,1155,三好,11,7,15,米,素食,1200,52_B1-43《三好》十六穀米(1.2kg/包)_135_1155_米
53,B1-44,《三好》秋收免浸糙米(1.5kg/包),84,1620,三好,30,3,18,米,素食,1500,53_B1-44《三好》秋收免浸糙米(1.5kg/包)_84_1620_米
54,B1-45,《三好》鴨田長秈糙米(1.5kg/包),152,1890,三好,15,6,21,米,素食,1500,54_B1-45《三好》鴨田長秈糙米(1.5kg/包)_152_1890_米
55,B1-46,《三好》鴨田胚芽糙米(1.5kg/包),165,1890,三好,15,6,21,米,素食,1500,55_B1-46《三好》鴨田胚芽糙米(1.5kg/包)_165_1890_米
56,B1-47,《三好》養生五穀米(1.8kg/包),145,1890,三好,15,6,21,米,素食,1800,56_B1-47《三好》養生五穀米(1.8kg/包)_145_1890_米
60,B1-51,《天生好米》胚芽糙米(1.5kg/包),99,2025,天生好米,15,5,27,米,素食,1500,60_B1-51《天生好米》胚芽糙米(1.5kg/包)_99_2025_米
63,B1-54,《天生好米》養生糙米(2kg/包),149,2250,天生好米,15,5,30,米,素食,2000,63_B1-54《天生好米》養生糙米(2kg/包)_149_2250_米
66,B1-57,《中興》鍾愛一生養生十穀米(1.2kg/包),139,1408,中興,8,11,16,米,素食,1200,66_B1-57《中興》鍾愛一生養生十穀米(1.2kg/包)_139_1408_米
67,B1-58,《中興》鴨禾糙米(1.5kg/包),145,1530,中興,17,6,15,米,素食,1500,67_B1-58《中興》鴨禾糙米(1.5kg/包)_145_1530_米
70,B1-61,《銀川》有機糙米(1.5kg/包),223,1900,銀川,19,4,25,米,素食,1500,70_B1-61《銀川》有機糙米(1.5kg/包)_223_1900_米
71,B1-62,《皇家榖堡》糙米(1.5kg/包),129,2070,皇家榖堡,23,3,30,米,素食,1500,71_B1-62《皇家榖堡》糙米(1.5kg/包)_129_2070_米
72,B1-63,《皇家榖堡》胚芽糙米(2.5kg/包),128,1600,皇家榖堡,16,5,20,米,素食,2500,72_B1-63《皇家榖堡》胚芽糙米(2.5kg/包)_128_1600_米
73,B1-64,《皇家榖堡》糙米(2.5kg/包),149,1600,皇家榖堡,16,5,20,米,素食,2500,73_B1-64《皇家榖堡》糙米(2.5kg/包)_149_1600_米
74,C1-1,《丸莊》松級蔭油(500ml/瓶),105,990,丸莊,6,6,27.5,醬油,素食,908,74_C1-1《丸莊》松級蔭油(500ml/瓶)_105_990_醬油
75,C1-2,《丸莊》極品黑豆蔭油清(300ml/瓶),79,648,丸莊,6,6,18,醬油,素食,612,75_C1-2《丸莊》極品黑豆蔭油清(300ml/瓶)_79_648_醬油
76,C1-3,《丸莊》極品蔭油膏(350g/瓶),79,648,丸莊,6,6,18,醬油,素食,350,76_C1-3《丸莊》極品蔭油膏(350g/瓶)_79_648_醬油
80,C1-7,《大同》秋菊黑豆油膏(400ml),95,990,大同,6,6,27.5,醬油,素食,817,80_C1-7《大同》秋菊黑豆油膏(400ml)_95_990_醬油
81,C1-8,《大同》秋菊黑豆醬油(400ml),69,990,大同,6,6,27.5,醬油,素食,807,81_C1-8《大同》秋菊黑豆醬油(400ml)_69_990_醬油
82,C1-9,《大同》勝醬蔭油膏(420ml),78,990,大同,6,6,27.5,醬油,素食,817,82_C1-9《大同》勝醬蔭油膏(420ml)_78_990_醬油
83,C1-10,《大同》湖底薄鹽蔭油(400ml),82,990,大同,6,6,27.5,醬油,素食,808,83_C1-10《大同》湖底薄鹽蔭油(400ml)_82_990_醬油
87,C1-14,《李錦記》熊貓蠔油(255g),59,559.63,李錦記,5.5,5.5,18.5,醬油,葷食,255,87_C1-14《李錦記》熊貓蠔油(255g)_59_559.625_醬油
95,C1-22,《味王》醬油露(1000ml),60,1376,味王,8,8,21.5,醬油,素食,1432,95_C1-22《味王》醬油露(1000ml)_60_1376_醬油
102,C1-29,《金蘭》醬油桌上瓶(148ml/玻璃),33,432,金蘭,6,6,12,醬油,素食,318,102_C1-29《金蘭》醬油桌上瓶(148ml/玻璃)_33_432_醬油
103,C1-30,《統一》四季醬油(870ml),49,1856,統一,8,8,29,醬油,素食,1089,103_C1-30《統一》四季醬油(870ml)_49_1856_醬油
104,C1-31,《統一》高純釀醬油(870ml),67,1856,統一,8,8,29,醬油,素食,1099,104_C1-31《統一》高純釀醬油(870ml)_67_1856_醬油
105,C1-32,《統一》龜甲萬甘醇醬油(1000ml/瓶),67,1376,統一,8,8,21.5,醬油,素食,1233,105_C1-32《統一》龜甲萬甘醇醬油(1000ml/瓶)_67_1376_醬油
106,C1-33,《統一》龜甲萬料亭和露(370ml/瓶),74,1127,統一,7,7,23,醬油,葷食,777,106_C1-33《統一》龜甲萬料亭和露(370ml/瓶)_74_1127_醬油
107,C1-34,《統一》龜甲萬料亭和露(香菇昆布)(370ml/瓶),79,1127,統一,7,7,23,醬油,素食,777,107_C1-34《統一》龜甲萬料亭和露(香菇昆布)(370ml/瓶)_79_1127_醬油
108,C1-35,《統一》龜甲萬鮮美露(340ml/瓶),72,980,統一,7,7,20,醬油,葷食,650,108_C1-35《統一》龜甲萬鮮美露(340ml/瓶)_72_980_醬油
114,C1-41,《萬家香》純釀造油膏(360g/瓶),35,1237.5,萬家香,7.5,7.5,22,醬油,素食,360,114_C1-41《萬家香》純釀造油膏(360g/瓶)_35_1237.5_醬油
115,C1-42,《萬家香》壺底油(1000ml),58,1878.5,萬家香,8.5,8.5,26,醬油,素食,1270,115_C1-42《萬家香》壺底油(1000ml)_58_1878.5_醬油
116,D1-1,紅標料理米酒,25,1421,公賣局,7,7,29,米酒,素食,1066,116_D1-1紅標料理米酒_25_1421_米酒
117,D1-2,特級紅標米酒,38,792,公賣局,6,6,22,米酒,素食,554,117_D1-2特級紅標米酒_38_792_米酒
118,D1-3,紅標米酒水,47,1421,公賣局,7,7,29,米酒,素食,1083,118_D1-3紅標米酒水_47_1421_米酒
