序,產品代號,品名,單價,體積,廠牌,長,寬,高,種類,葷素,重量(g),"輸入格式(序,產品代碼+品名,單價,體積,種類)"
1,A1-1,《台糖》沙拉油(600ml/瓶),43,1176,台糖,7,7,24,油,素食,596,1_A1-1《台糖》沙拉油(600ml/瓶)_43_1176_油
3,A1-3,《泰山 》特級好理健康調和油(600ml),50,904.75,泰山,7,5.5,23.5,油,素食,596,3_A1-3《泰山 》特級好理健康調和油(600ml)_50_904.75_油
4,A1-4,《泰山 》健康好理由葵花油(1200ml),189,1785,泰山,10,7,25.5,油,素食,1616,4_A1-4《泰山 》健康好理由葵花油(1200ml)_189_1785_油
5,A1-5,《統一》綺麗健康油(652ml/瓶),199,881.25,統一,7.5,5,23.5,油,素食,600,5_A1-5《統一》綺麗健康油(652ml/瓶)_199_881.25_油
8,A1-8,《維義》橄欖油(500ml),219,954,維義,6,6,26.5,油,素食,500,8_A1-8《維義》橄欖油(500ml)_219_954_油
10,B1-1,《中興》鴨禾米(1.5kg/包),135,1530,中興,15,17,6,米,素食,1500,10_B1-1《中興》鴨禾米(1.5kg/包)_135_1530_米
11,B1-2,《中興》越之米(1.5kg/包),135,1530,中興,15,17,6,米,素食,1500,11_B1-2《中興》越之米(1.5kg/包)_135_1530_米
12,B1-3,《中興》外銷日本之米(1.5kg/包),159,1530,中興,15,17,6,米,素食,1500,12_B1-3《中興》外銷日本之米(1.5kg/包)_159_1530_米
15,B1-6,《中興》關山榖堡米(3kg/包),189,2904,中興,33,22,4,米,素食,3000,15_B1-6《中興》關山榖堡米(3kg/包)_189_2904_米
16,B1-7,《中興》皇家榖堡米(3kg/包),165,2904,中興,33,22,4,米,素食,3000,16_B1-7《中興》皇家榖堡米(3kg/包)_165_2904_米
18,B1-9,《天生好米》鮮活白米(1.5kg/包),129,1458,天生好米,18,3,27,米,素食,1500,18_B1-9《天生好米》鮮活白米(1.5kg/包)_129_1458_米
20,B1-11,《天生好米》月之好米(1.8kg/包),99,1596,天生好米,19,3,28,米,素食,1800,20_B1-11《天生好米》月之好米(1.8kg/包)_99_1596_米
27,B1-18,《天生好米》富里5號米(3kg/包),155,2277,天生好米,23,3,33,米,素食,3000,27_B1-18《天生好米》富里5號米(3kg/包)_155_2277_米
30,B1-21,《三好》夏耘鮮白米(1.5kg/包),84,1620,三好,30,3,18,米,素食,1500,30_B1-21《三好》夏耘鮮白米(1.5kg/包)_84_1620_米
51,B1-42,《巧婦》長鮮米(3kg/包),189,2772,巧婦,21,4,33,米,素食,3000,51_B1-42《巧婦》長鮮米(3kg/包)_189_2772_米
53,B1-44,《三好》秋收免浸糙米(1.5kg/包),84,1620,三好,30,3,18,米,素食,1500,53_B1-44《三好》秋收免浸糙米(1.5kg/包)_84_1620_米
55,B1-46,《三好》鴨田胚芽糙米(1.5kg/包),165,1890,三好,15,6,21,米,素食,1500,55_B1-46《三好》鴨田胚芽糙米(1.5kg/包)_165_1890_米
56,B1-47,《三好》養生五穀米(1.8kg/包),145,1890,三好,15,6,21,米,素食,1800,56_B1-47《三好》養生五穀米(1.8kg/包)_145_1890_米
57,B1-48,《三好》台梗九號免浸糙米(2kg/包),129,2160,三好,15,9,16,米,素食,2000,57_B1-48《三好》台梗九號免浸糙米(2kg/包)_129_2160_米
69,B1-60,《中興》胚芽米(2kg),89,1783.5,中興,20.5,3,29,米,素食,2000,69_B1-60《中興》胚芽米(2kg)_89_1783.5_米
70,B1-61,《銀川》有機糙米(1.5kg/包),223,1900,銀川,19,4,25,米,素食,1500,70_B1-61《銀川》有機糙米(1.5kg/包)_223_1900_米
71,B1-62,《皇家榖堡》糙米(1.5kg/包),129,2070,皇家榖堡,23,3,30,米,素食,1500,71_B1-62《皇家榖堡》糙米(1.5kg/包)_129_2070_米
72,B1-63,《皇家榖堡》胚芽糙米(2.5kg/包),128,1600,皇家榖堡,16,5,20,米,素食,2500,72_B1-63《皇家榖堡》胚芽糙米(2.5kg/包)_128_1600_米
73,B1-64,《皇家榖堡》糙米(2.5kg/包),149,1600,皇家榖堡,16,5,20,米,素食,2500,73_B1-64《皇家榖堡》糙米(2.5kg/包)_149_1600_米
74,C1-1,《丸莊》松級蔭油(500ml/瓶),105,990,丸莊,6,6,27.5,醬油,素食,908,74_C1-1《丸莊》松級蔭油(500ml/瓶)_105_990_醬油
75,C1-2,《丸莊》極品黑豆蔭油清(300ml/瓶),79,648,丸莊,6,6,18,醬油,素食,612,75_C1-2《丸莊》極品黑豆蔭油清(300ml/瓶)_79_648_醬油
85,C1-12,《大同》蔭油膏(420ml),45,990,大同,6,6,27.5,醬油,素食,817,85_C1-12《大同》蔭油膏(420ml)_45_990_醬油
87,C1-14,《李錦記》熊貓蠔油(255g),59,559.63,李錦記,5.5,5.5,18.5,醬油,葷食,255,87_C1-14《李錦記》熊貓蠔油(255g)_59_559.625_醬油
90,C1-17,《李錦記》舊庄特級蠔油(255g),95,559.63,李錦記,5.5,5.5,18.5,醬油,葷食,255,90_C1-17《李錦記》舊庄特級蠔油(255g)_95_559.625_醬油
91,C1-18,《李錦記》舊庄特級蠔油(510g),158,918,李錦記,6,6,25.5,醬油,葷食,510,91_C1-18《李錦記》舊庄特級蠔油(510g)_158_918_醬油
92,C1-19,《味王》金味王醬油(1000ml),50,1376,味王,8,8,21.5,醬油,素食,1432,92_C1-19《味王》金味王醬油(1000ml)_50_1376_醬油
93,C1-20,《味王》婦友醬油(1000ml),32,1376,味王,8,8,21.5,醬油,素食,1432,93_C1-20《味王》婦友醬油(1000ml)_32_1376_醬油
95,C1-22,《味王》醬油露(1000ml),60,1376,味王,8,8,21.5,醬油,素食,1432,95_C1-22《味王》醬油露(1000ml)_60_1376_醬油
96,C1-23,《金蘭》甘露醬油(295ml/瓶),34,756,金蘭,6,6,21,醬油,素食,561,96_C1-23《金蘭》甘露醬油(295ml/瓶)_34_756_醬油
97,C1-24,《金蘭》甘露醬油(500ml),59,1176,金蘭,7,7,24,醬油,素食,908,97_C1-24《金蘭》甘露醬油(500ml)_59_1176_醬油
112,C1-39,《萬家香》香菇素蠔油(1000ml),64,1878.5,萬家香,8.5,8.5,26,醬油,葷食,1267,112_C1-39《萬家香》香菇素蠔油(1000ml)_64_1878.5_醬油
